City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
250,Acapulco,MX,2022-07-17 19:52:36,16.8634,-99.8901,86.54,64,88,8.1
251,Rock Sound,BS,2022-07-17 19:54:36,24.9,-76.2,82.74,79,100,17.85
252,Labuan,MY,2022-07-17 19:54:37,5.2767,115.2417,75.56,100,20,0.0
253,Chunoyar,RU,2022-07-17 19:54:37,57.4467,97.3217,59.07,74,100,8.1
254,Mount Isa,AU,2022-07-17 19:53:44,-20.7333,139.5,46.17,81,2,0.0
255,Massakory,TD,2022-07-17 19:54:38,12.996,15.7293,77.83,72,100,13.09
256,Rampura,IN,2022-07-17 19:54:38,30.25,75.2333,87.84,60,0,5.41
257,Ossora,RU,2022-07-17 19:54:39,59.2353,163.0719,59.52,85,98,5.68
258,Anloga,GH,2022-07-17 19:54:39,5.7947,0.8973,75.81,85,96,13.13
259,Hami,CN,2022-07-17 19:54:39,42.8,93.45,80.55,27,6,3.94
260,Atar,MR,2022-07-17 19:54:40,20.5169,-13.0499,105.15,8,19,9.04
261,Linjiang,CN,2022-07-17 19:54:40,41.8069,126.9078,62.29,99,100,1.43
262,Sao Gabriel Da Cachoeira,BR,2022-07-17 19:54:41,-0.1303,-67.0892,91.2,58,40,8.05
263,Matara,LK,2022-07-17 19:54:41,5.9485,80.5353,78.67,85,100,9.98
264,Grindavik,IS,2022-07-17 19:54:41,63.8424,-22.4338,51.75,87,100,9.22
265,Estelle,US,2022-07-17 19:54:42,29.8458,-90.1067,93.99,59,75,6.91
266,Santa Maria,BR,2022-07-17 19:54:42,-29.6842,-53.8069,52.9,62,100,4.61
267,Beloha,MG,2022-07-17 19:54:42,-25.1667,45.05,64.29,77,0,10.83
268,Vila Velha,BR,2022-07-17 19:54:43,-20.3297,-40.2925,80.55,80,20,14.97
269,Garden City,US,2022-07-17 19:54:43,42.3256,-83.331,80.82,72,100,6.17
270,Nemuro,JP,2022-07-17 19:54:44,43.3236,145.575,62.55,100,100,12.01
271,Nantucket,US,2022-07-17 19:53:52,41.2835,-70.0995,82.51,80,1,11.59
272,Port Hardy,CA,2022-07-17 19:54:44,50.6996,-127.4199,55.58,88,75,11.5
273,Souillac,MU,2022-07-17 19:54:44,-20.5167,57.5167,70.18,56,20,19.57
274,Hovd,MN,2022-07-17 19:54:45,48.0056,91.6419,65.52,41,15,7.78
275,Hemsedal,NO,2022-07-17 19:54:45,60.8629,8.5534,55.15,88,95,4.65
276,Terney,RU,2022-07-17 19:54:46,45.0503,136.6092,59.02,92,99,3.44
277,Tatawin,TN,2022-07-17 19:54:46,32.9297,10.4518,77.23,60,0,12.75
278,Tilichiki,RU,2022-07-17 19:54:46,60.4667,166.1,56.61,82,100,7.31
279,Siderno,IT,2022-07-17 19:55:47,38.2779,16.302,84.34,63,0,5.64
280,Independence,US,2022-07-17 19:55:47,39.0911,-94.4155,91.11,65,34,12.19
281,Bentiu,SS,2022-07-17 19:55:47,9.2333,29.8333,73.0,92,94,3.74
282,Brandenburg,DE,2022-07-17 19:55:48,52.4167,12.55,68.92,50,100,3.36
283,Hailar,CN,2022-07-17 19:55:48,49.2,119.7,59.86,97,98,4.32
284,Ambunti,PG,2022-07-17 19:51:00,-4.2365,142.8448,71.98,99,59,1.45
285,Vestmannaeyjar,IS,2022-07-17 19:55:49,63.4427,-20.2734,52.3,86,42,15.46
286,Neijiang,CN,2022-07-17 19:55:49,29.5835,105.0622,74.73,96,100,5.06
287,Baykit,RU,2022-07-17 19:55:49,61.67,96.37,50.79,97,71,3.51
288,Jogeva,EE,2022-07-17 19:55:50,58.7467,26.3939,55.53,86,100,6.15
289,Catuday,PH,2022-07-17 19:55:50,16.2923,119.8062,79.16,81,95,6.67
290,Praia Da Vitoria,PT,2022-07-17 19:55:50,38.7333,-27.0667,77.25,69,75,11.39
291,Victor Harbor,AU,2022-07-17 19:55:51,-35.5667,138.6167,44.67,78,95,10.36
292,Madison Heights,US,2022-07-17 19:55:51,42.4859,-83.1052,80.83,76,0,6.91
293,Kulhudhuffushi,MV,2022-07-17 19:55:52,6.6221,73.07,80.64,80,100,19.3
