WeatherPy_Database.csv,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
292,Tran,BG,42.8353,22.6517,61.32,48,0,2.42,clear sky
293,Te Anau,NZ,-45.4167,167.7167,41.07,97,100,3.51,overcast clouds
294,Cabo San Lucas,MX,22.8909,-109.9124,94.6,68,92,3.0,overcast clouds
295,Kangaatsiaq,GL,68.3065,-53.4641,41.18,98,100,3.71,overcast clouds
296,Tadine,NC,-21.55,167.8833,73.9,90,26,10.63,scattered clouds
297,Bashtanka,UA,47.4072,32.4387,67.26,47,42,8.48,scattered clouds
298,Turukhansk,RU,65.8167,87.9833,50.56,67,99,9.17,overcast clouds
299,Yangjiang,CN,21.85,111.9667,81.16,88,96,7.65,overcast clouds
300,Haldibari,IN,26.3333,88.7667,81.23,87,100,6.58,overcast clouds
301,Washington,US,47.5001,-120.5015,84.33,34,0,5.84,clear sky
302,Linxia,CN,35.6003,103.2064,54.72,75,0,3.6,clear sky
303,Strezhevoy,RU,60.7333,77.5889,53.92,90,2,6.71,clear sky
304,Sri Aman,MY,1.2376,111.4621,74.01,83,4,0.58,clear sky
305,Charters Towers,AU,-20.1,146.2667,55.06,93,0,6.49,clear sky
306,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,52.39,100,100,4.47,overcast clouds
307,Natal,BR,-5.795,-35.2094,78.49,74,6,14.88,clear sky
308,Oistins,BB,13.0667,-59.5333,83.52,78,7,15.77,clear sky
309,Alexandria,EG,31.2156,29.9553,80.56,74,0,8.05,clear sky
310,Oriximina,BR,-1.7656,-55.8661,88.23,53,75,5.12,broken clouds
311,Torbay,CA,47.6666,-52.7314,71.76,82,100,17.27,overcast clouds
312,Conakry,GN,9.538,-13.6773,78.53,81,100,14.79,light rain
313,Tiksi,RU,71.6872,128.8694,33.96,94,100,15.39,overcast clouds
314,Bacum,MX,27.55,-110.0833,91.67,51,72,2.28,broken clouds
315,Wencheng,CN,33.0559,113.7978,68.05,96,100,7.85,overcast clouds
316,Sribne,UA,50.6638,32.9187,57.61,89,24,2.84,few clouds
317,Vardo,NO,70.3705,31.1107,55.38,94,100,2.3,overcast clouds
318,Hrubieszow,PL,50.805,23.8925,63.0,70,12,2.06,few clouds
319,Vilyuysk,RU,63.7553,121.6247,54.09,76,100,9.1,overcast clouds
320,Bhanpuri,IN,21.1,80.9167,75.45,88,100,9.48,overcast clouds
321,Bayan,CN,46.0833,127.4,64.26,93,0,2.57,clear sky
322,Havelock,US,34.8791,-76.9013,93.15,81,61,8.99,broken clouds
323,Peachland,CA,49.7665,-119.7357,84.67,37,5,4.0,clear sky
324,Roebourne,AU,-20.7833,117.1333,66.85,63,3,6.69,clear sky
325,Ulladulla,AU,-35.35,150.4667,50.11,82,100,8.12,overcast clouds
326,Avera,US,33.194,-82.5271,90.91,37,46,10.56,scattered clouds
327,Provideniya,RU,64.3833,-173.3,45.0,70,97,1.41,overcast clouds
328,Yaan,NG,7.3833,8.5667,75.78,77,80,5.53,broken clouds
329,Kirakira,SB,-10.4544,161.9205,77.95,80,6,6.51,clear sky
330,Saint-Joseph,RE,-21.3667,55.6167,66.58,77,20,19.37,light rain
331,Hasaki,JP,35.7333,140.8333,77.4,94,95,5.06,overcast clouds
332,Salta,AR,-24.7859,-65.4117,62.58,41,100,7.0,overcast clouds
333,Shenjiamen,CN,29.9576,122.298,77.52,96,100,13.22,overcast clouds
334,La Ronge,CA,55.1001,-105.2842,81.09,37,1,9.44,clear sky
335,Thinadhoo,MV,0.5333,72.9333,80.24,74,100,5.99,light rain
336,Trinidad,BO,-14.8333,-64.9,93.81,28,10,3.42,clear sky
337,Kysyl-Syr,RU,63.8986,122.7617,51.42,84,100,8.34,overcast clouds
338,Kachug,RU,53.9606,105.8817,54.91,96,97,3.4,overcast clouds
339,Hastings,GB,50.8552,0.5729,86.9,54,77,23.55,light rain
340,Porto Novo,BJ,6.4965,2.6036,75.11,76,100,8.81,overcast clouds
341,Carnarvon,AU,-24.8667,113.6333,64.72,54,59,9.35,broken clouds
342,Kidal,ML,18.4411,1.4078,86.88,43,95,18.21,overcast clouds
343,Kholmskaya,RU,44.846,38.389,64.81,71,0,2.64,clear sky
